rank,generation,individual_id,threshold,max_edges_per_node,top_k,fitness,ndcg,map,mrr,answer_cosine_similarity,avg_retrieval_time_ms,total_nodes,total_edges,total_communities,chromosome,source_file,run,sheet
29,4,g3_i4,0.5,7,14,0.5384,0.5892,0.4731,0.5384,0,130.7,1616,10490,14,"[2, 4, 9]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
30,4,g3_i5,0.5,7,14,0.5384,0.5892,0.4731,0.5384,0,130.7,1616,10490,14,"[2, 4, 9]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
31,5,g4_i5,0.5,7,14,0.5384,0.5892,0.4731,0.5384,0,130.7,1616,10490,14,"[2, 4, 9]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
32,5,g4_i6,0.5,7,14,0.5384,0.5892,0.4731,0.5384,0,130.7,1616,10490,14,"[2, 4, 9]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
33,6,g5_i4,0.8,6,11,0.5348,0.5924,0.4971,0.5348,0,135.57,1616,8835,15,"[5, 3, 6]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
34,2,g1_i2,0.3,7,14,0.5336,0.5896,0.4733,0.5336,0,133.76,1616,10490,14,"[0, 4, 9]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
35,5,g4_i7,0.7,7,18,0.5335,0.5785,0.4555,0.5335,0,135.2,1616,10367,14,"[4, 4, 13]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
36,4,g3_i6,0.8,6,12,0.5331,0.5865,0.4868,0.5331,0,134.47,1616,8835,15,"[5, 3, 7]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
37,3,g2_i3,0.4,7,14,0.5325,0.5896,0.4726,0.5325,0,134.27,1616,10490,14,"[1, 4, 9]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
38,7,g6_i6,0.9,7,11,0.5325,0.5862,0.4935,0.5325,0,124.76,1616,6660,21,"[6, 4, 6]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
39,7,g6_i7,0.9,7,8,0.5309,0.5846,0.5054,0.5309,0,124.28,1616,6660,21,"[6, 4, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
40,6,g5_i5,0.5,7,12,0.5274,0.582,0.4795,0.5274,0,132.87,1616,10490,14,"[2, 4, 7]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
41,7,g6_i8,0.5,7,12,0.5274,0.582,0.4795,0.5274,0,132.87,1616,10490,14,"[2, 4, 7]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
42,8,g7_i3,0.9,7,10,0.5266,0.5852,0.492,0.5266,0,124.22,1616,6660,21,"[6, 4, 5]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
43,8,g7_i4,0.9,7,10,0.5266,0.5852,0.492,0.5266,0,124.22,1616,6660,21,"[6, 4, 5]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
44,1,g0_i1,0.4,7,8,0.5258,0.5685,0.4976,0.5258,0,131.68,1616,10490,14,"[1, 4, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
45,2,g1_i3,0.4,7,8,0.5258,0.5685,0.4976,0.5258,0,131.68,1616,10490,14,"[1, 4, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
46,4,g3_i7,0.4,7,8,0.5258,0.5685,0.4976,0.5258,0,131.68,1616,10490,14,"[1, 4, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
47,2,g1_i4,0.7,6,19,0.5253,0.5895,0.4625,0.5253,0,134.65,1616,9286,14,"[4, 3, 14]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
48,3,g2_i4,0.7,6,19,0.5253,0.5895,0.4625,0.5253,0,134.65,1616,9286,14,"[4, 3, 14]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
49,1,g0_i2,0.5,3,17,0.5251,0.563,0.4388,0.5251,0,112.08,1616,6126,19,"[2, 0, 12]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
50,6,g5_i6,0.3,8,8,0.525,0.5713,0.4904,0.525,0,133.77,1616,11641,14,"[0, 5, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
51,4,g3_i8,0.4,6,14,0.5248,0.5818,0.4694,0.5248,0,137.8,1616,9383,14,"[1, 3, 9]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
52,6,g5_i7,0.8,8,11,0.5238,0.5732,0.4801,0.5238,0,138.94,1616,10755,14,"[5, 5, 6]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
53,7,g6_i9,0.5,8,13,0.5234,0.5743,0.4665,0.5234,0,135.5,1616,11641,14,"[2, 5, 8]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
54,3,g2_i5,0.7,7,13,0.5214,0.5709,0.4646,0.5214,0,133.88,1616,10367,14,"[4, 4, 8]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
55,1,g0_i3,0.4,7,10,0.521,0.5763,0.4856,0.521,0,136.5,1616,10490,14,"[1, 4, 5]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
56,2,g1_i5,0.4,6,10,0.5202,0.5765,0.4829,0.5202,0,135.21,1616,9383,14,"[1, 3, 5]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
57,8,g7_i5,0.4,9,17,0.5201,0.5714,0.4502,0.5201,0,140.19,1616,12749,14,"[1, 6, 12]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
58,6,g5_i8,0.7,7,6,0.5192,0.5607,0.5084,0.5192,0,134.81,1616,10367,14,"[4, 4, 1]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
59,8,g7_i6,0.7,7,10,0.5162,0.5627,0.4761,0.5162,0,134.98,1616,10367,14,"[4, 4, 5]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
60,8,g7_i7,0.7,7,10,0.5162,0.5627,0.4761,0.5162,0,134.98,1616,10367,14,"[4, 4, 5]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
61,5,g4_i8,0.3,6,8,0.5153,0.5633,0.4915,0.5153,0,135.99,1616,9383,14,"[0, 3, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
62,1,g0_i4,0.9,10,12,0.5142,0.5783,0.475,0.5142,0,116.72,1616,7667,20,"[6, 7, 7]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
63,7,g6_i10,0.9,9,11,0.5061,0.5663,0.4646,0.5061,0,116.99,1616,7341,21,"[6, 6, 6]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
64,3,g2_i6,0.9,10,11,0.5049,0.5689,0.4727,0.5049,0,118.22,1616,7667,20,"[6, 7, 6]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
65,3,g2_i7,0.7,9,7,0.5012,0.5519,0.4886,0.5012,0,136.6,1616,12553,13,"[4, 6, 2]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
66,1,g0_i5,0.9,5,7,0.4931,0.5416,0.4656,0.4931,0,119.32,1616,5888,22,"[6, 2, 2]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
67,1,g0_i6,0.9,5,7,0.4931,0.5416,0.4656,0.4931,0,119.32,1616,5888,22,"[6, 2, 2]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
68,1,g0_i7,0.6,3,8,0.4925,0.5453,0.462,0.4925,0,116.73,1616,6119,19,"[3, 0, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
69,6,g5_i9,0.6,5,12,0.4925,0.5501,0.4502,0.4925,0,133.02,1616,8227,16,"[3, 2, 7]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
70,1,g0_i8,0.7,3,14,0.4923,0.5552,0.4435,0.4923,0,126.45,1616,6091,18,"[4, 0, 9]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
71,7,g6_i11,0.8,9,18,0.4922,0.5642,0.4361,0.4922,0,141.56,1616,11684,15,"[5, 6, 13]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
72,6,g5_i10,0.9,6,10,0.4892,0.5771,0.4806,0.4892,0,120.38,1616,6299,19,"[6, 3, 5]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
73,4,g3_i9,0.9,5,11,0.4891,0.5475,0.4481,0.4891,0,120.94,1616,5888,22,"[6, 2, 6]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
74,2,g1_i6,0.7,9,5,0.4885,0.5335,0.4857,0.4885,0,135.69,1616,12553,13,"[4, 6, 0]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
75,5,g4_i9,0.3,10,17,0.4836,0.5526,0.4337,0.4836,0,140.02,1616,13917,13,"[0, 7, 12]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
76,3,g2_i8,0.8,9,7,0.4831,0.5375,0.4746,0.4831,0,139.01,1616,11684,15,"[5, 6, 2]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
77,1,g0_i9,0.8,3,11,0.4814,0.5389,0.4402,0.4814,0,121.11,1616,5992,19,"[5, 0, 6]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
78,3,g2_i9,0.7,3,11,0.4813,0.5481,0.4475,0.4813,0,123.59,1616,6091,18,"[4, 0, 6]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
79,3,g2_i10,0.4,10,8,0.4804,0.5373,0.4691,0.4804,0,137.3,1616,13917,13,"[1, 7, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
80,5,g4_i10,0.4,10,8,0.4804,0.5373,0.4691,0.4804,0,137.3,1616,13917,13,"[1, 7, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
81,3,g2_i11,0.3,9,5,0.4803,0.525,0.4791,0.4803,0,135.75,1616,12749,14,"[0, 6, 0]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
82,8,g7_i8,0.3,10,7,0.4773,0.5318,0.4678,0.4773,0,137.86,1616,13917,13,"[0, 7, 2]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
83,2,g1_i7,0.7,10,5,0.4766,0.5139,0.4672,0.4766,0,139.45,1616,13668,13,"[4, 7, 0]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
84,2,g1_i8,0.6,4,5,0.4758,0.515,0.4678,0.4758,0,122.07,1616,7174,17,"[3, 1, 0]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
85,4,g3_i10,0.6,4,5,0.4758,0.515,0.4678,0.4758,0,122.07,1616,7174,17,"[3, 1, 0]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
86,1,g0_i10,0.5,5,13,0.4748,0.5447,0.4435,0.4748,0,127.59,1616,8244,17,"[2, 2, 8]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
87,2,g1_i9,0.5,5,13,0.4748,0.5447,0.4435,0.4748,0,127.59,1616,8244,17,"[2, 2, 8]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
88,5,g4_i11,0.3,10,6,0.4685,0.5257,0.4663,0.4685,0,139.71,1616,13917,13,"[0, 7, 1]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
89,2,g1_i10,0.3,5,10,0.4663,0.5362,0.4524,0.4663,0,130.14,1616,8244,17,"[0, 2, 5]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
90,6,g5_i11,0.6,5,8,0.4653,0.5233,0.454,0.4653,0,131.82,1616,8227,16,"[3, 2, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
91,8,g7_i9,0.6,5,8,0.4653,0.5233,0.454,0.4653,0,131.82,1616,8227,16,"[3, 2, 3]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
92,4,g3_i11,0.3,5,9,0.4651,0.5291,0.45,0.4651,0,130.01,1616,8244,17,"[0, 2, 4]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
93,1,g0_i11,0.9,4,15,0.4602,0.5239,0.4162,0.4602,0,114.13,1616,5474,20,"[6, 1, 10]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
94,2,g1_i11,0.9,4,7,0.459,0.5031,0.4435,0.459,0,114.29,1616,5474,20,"[6, 1, 2]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
95,8,g7_i10,0.8,4,12,0.4457,0.5287,0.4306,0.4457,0,120.68,1616,6927,17,"[5, 1, 7]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
96,8,g7_i11,0.8,4,10,0.4442,0.517,0.431,0.4442,0,123.0,1616,6927,17,"[5, 1, 5]",mrr.xlsx,mrr,c5a3cea2-ab4e-4628-9372-88a2bde
1,1,g0_i0,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
2,2,g1_i0,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
3,2,g1_i1,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
4,3,g2_i0,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
5,3,g2_i1,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
6,4,g3_i0,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
7,4,g3_i1,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
8,4,g3_i2,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
9,4,g3_i3,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
10,5,g4_i0,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
11,5,g4_i1,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
12,5,g4_i2,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
13,5,g4_i3,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
14,5,g4_i4,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
15,6,g5_i0,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
16,6,g5_i1,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
17,7,g6_i0,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
18,7,g6_i1,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
19,7,g6_i2,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
20,7,g6_i3,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
21,7,g6_i4,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
22,8,g7_i0,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
23,8,g7_i1,0.5,7,14,0.597,0.597,0.4787,0.5434,0,132.29,1616,10490,14,"[2, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
24,4,g3_i4,0.8,7,13,0.596,0.596,0.4845,0.5499,0,136.07,1616,9784,16,"[5, 4, 8]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
25,3,g2_i2,0.8,7,12,0.5934,0.5934,0.49,0.5441,0,135.93,1616,9784,16,"[5, 4, 7]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
26,2,g1_i2,0.7,6,19,0.5903,0.5903,0.4647,0.5322,0,132.32,1616,9286,14,"[4, 3, 14]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
27,3,g2_i3,0.4,7,13,0.5891,0.5891,0.4771,0.5286,0,132.46,1616,10490,14,"[1, 4, 8]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
28,5,g4_i5,0.5,7,15,0.5889,0.5889,0.4655,0.5303,0,131.99,1616,10490,14,"[2, 4, 10]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
29,8,g7_i2,0.6,7,14,0.588,0.588,0.4736,0.5298,0,135.35,1616,10463,13,"[3, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
30,8,g7_i3,0.6,7,14,0.588,0.588,0.4736,0.5298,0,135.35,1616,10463,13,"[3, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
31,4,g3_i5,0.5,7,13,0.5878,0.5878,0.479,0.5265,0,133.19,1616,10490,14,"[2, 4, 8]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
32,5,g4_i6,0.5,7,13,0.5878,0.5878,0.479,0.5265,0,133.19,1616,10490,14,"[2, 4, 8]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
33,6,g5_i2,0.5,7,13,0.5878,0.5878,0.479,0.5265,0,133.19,1616,10490,14,"[2, 4, 8]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
34,6,g5_i3,0.5,7,13,0.5878,0.5878,0.479,0.5265,0,133.19,1616,10490,14,"[2, 4, 8]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
35,8,g7_i4,0.4,7,14,0.5871,0.5871,0.4704,0.5278,0,132.62,1616,10490,14,"[1, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
36,8,g7_i5,0.4,7,14,0.5871,0.5871,0.4704,0.5278,0,132.62,1616,10490,14,"[1, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
37,2,g1_i3,0.3,7,14,0.5864,0.5864,0.4717,0.5357,0,130.88,1616,10490,14,"[0, 4, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
38,7,g6_i5,0.9,7,8,0.5864,0.5864,0.5075,0.531,0,123.82,1616,6660,21,"[6, 4, 3]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
39,4,g3_i6,0.8,6,12,0.5854,0.5854,0.4876,0.5288,0,134.77,1616,8835,15,"[5, 3, 7]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
40,6,g5_i4,0.5,7,12,0.5849,0.5849,0.4854,0.5367,0,134.13,1616,10490,14,"[2, 4, 7]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
41,7,g6_i6,0.5,7,12,0.5849,0.5849,0.4854,0.5367,0,134.13,1616,10490,14,"[2, 4, 7]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
42,8,g7_i6,0.9,8,14,0.5846,0.5846,0.4736,0.5291,0,121.67,1616,7033,20,"[6, 5, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
43,4,g3_i7,0.4,6,13,0.5831,0.5831,0.4742,0.5255,0,137.27,1616,9383,14,"[1, 3, 8]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
44,6,g5_i5,0.5,6,14,0.5831,0.5831,0.4725,0.5265,0,134.96,1616,9383,14,"[2, 3, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
45,3,g2_i4,0.4,6,19,0.5828,0.5828,0.4511,0.5225,0,134.67,1616,9383,14,"[1, 3, 14]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
46,7,g6_i7,0.6,7,12,0.5795,0.5795,0.4816,0.5253,0,135.29,1616,10463,13,"[3, 4, 7]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
47,6,g5_i6,0.9,6,10,0.5788,0.5788,0.4827,0.4931,0,120.0,1616,6299,19,"[6, 3, 5]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
48,1,g0_i1,0.4,7,10,0.5773,0.5773,0.4848,0.5196,0,129.65,1616,10490,14,"[1, 4, 5]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
49,2,g1_i4,0.4,7,10,0.5773,0.5773,0.4848,0.5196,0,129.65,1616,10490,14,"[1, 4, 5]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
50,3,g2_i5,0.4,7,10,0.5773,0.5773,0.4848,0.5196,0,129.65,1616,10490,14,"[1, 4, 5]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
51,7,g6_i8,0.8,9,18,0.576,0.576,0.4523,0.5129,0,139.94,1616,11684,15,"[5, 6, 13]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
52,6,g5_i7,0.3,8,8,0.5752,0.5752,0.4995,0.5327,0,136.02,1616,11641,14,"[0, 5, 3]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
53,1,g0_i2,0.9,10,12,0.574,0.574,0.4694,0.5054,0,117.87,1616,7667,20,"[6, 7, 7]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
54,7,g6_i9,0.5,8,10,0.574,0.574,0.4811,0.5288,0,135.45,1616,11641,14,"[2, 5, 5]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
55,1,g0_i3,0.4,7,8,0.5723,0.5723,0.5023,0.5289,0,133.45,1616,10490,14,"[1, 4, 3]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
56,4,g3_i8,0.4,7,8,0.5723,0.5723,0.5023,0.5289,0,133.45,1616,10490,14,"[1, 4, 3]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
57,7,g6_i10,0.5,8,13,0.5719,0.5719,0.4622,0.5226,0,134.97,1616,11641,14,"[2, 5, 8]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
58,6,g5_i8,0.5,8,14,0.5718,0.5718,0.4569,0.5186,0,133.71,1616,11641,14,"[2, 5, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
59,7,g6_i11,0.9,9,11,0.57,0.57,0.469,0.5126,0,117.15,1616,7341,21,"[6, 6, 6]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
60,3,g2_i6,0.9,10,11,0.5699,0.5699,0.4726,0.509,0,120.19,1616,7667,20,"[6, 7, 6]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
61,8,g7_i7,0.4,9,17,0.5692,0.5692,0.4417,0.5082,0,137.36,1616,12749,14,"[1, 6, 12]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
62,5,g4_i7,0.7,7,18,0.5659,0.5659,0.4427,0.5134,0,135.56,1616,10367,14,"[4, 4, 13]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
63,2,g1_i5,0.4,6,8,0.5638,0.5638,0.493,0.5136,0,136.61,1616,9383,14,"[1, 3, 3]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
64,1,g0_i4,0.5,3,17,0.5636,0.5636,0.441,0.5191,0,111.66,1616,6126,19,"[2, 0, 12]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
65,3,g2_i7,0.7,3,11,0.5607,0.5607,0.4597,0.4966,0,128.32,1616,6091,18,"[4, 0, 6]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
66,5,g4_i8,0.3,6,8,0.5596,0.5596,0.4876,0.5097,0,135.02,1616,9383,14,"[0, 3, 3]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
67,5,g4_i9,0.3,10,17,0.5573,0.5573,0.4365,0.4929,0,139.36,1616,13917,13,"[0, 7, 12]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
68,1,g0_i5,0.7,3,14,0.5558,0.5558,0.4445,0.4915,0,126.12,1616,6091,18,"[4, 0, 9]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
69,3,g2_i8,0.7,9,7,0.5552,0.5552,0.4904,0.5078,0,137.37,1616,12553,13,"[4, 6, 2]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
70,6,g5_i9,0.7,7,6,0.5527,0.5527,0.498,0.5058,0,133.34,1616,10367,14,"[4, 4, 1]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
71,4,g3_i9,0.9,5,11,0.5505,0.5505,0.4495,0.4951,0,121.19,1616,5888,22,"[6, 2, 6]",ndcg.xlsx,ndcg,7896494d-2dba-4848-be5f-a5418a1
